"campaignid","opcode","period","error","family","genus","species","number","length_mm","frame","frame_left","range","min_length","max_length","length_max_mm","em_comment","rms","precision","code"
"2024_Albany_stereo-BRUVs","1",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","1",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","1",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","100",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","100",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","100",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","101",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","101",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","102",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","102",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","102",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","103",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","103",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","104",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","104",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","104",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","105",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","105",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","106",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","106",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","106",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","107",,"stereo.maxn.does.not.equal.maxn","Arripidae","Arripis","georgianus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","108",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","108",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","108",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","109",,"length.or.3D.point.outside.period","Sillaginidae","Sillaginodes","punctatus","1","230.69087",,"31978",,,,,,,,
"2024_Albany_stereo-BRUVs","109",,"length.or.3D.point.outside.period","Sillaginidae","Sillaginodes","punctatus","1","247.86719",,"32160",,,,,,,,
"2024_Albany_stereo-BRUVs","11","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"223.75854",,"31778","1409.23825",,,,,"41.47445","3.21691","37330001"
"2024_Albany_stereo-BRUVs","11","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"230.74409",,"31856","1604.36379",,,,,"34.42444","1.35565","37330001"
"2024_Albany_stereo-BRUVs","11","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"225.57597",,"31994","1367.75276",,,,,"39.89356","2.8809","37330001"
"2024_Albany_stereo-BRUVs","11","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"211.99341",,"32061","1414.55803",,,,,"38.96765","3.92917","37330001"
"2024_Albany_stereo-BRUVs","11",,"species.not.observed.in.region.before","Terapontidae","Pelates","quadrilineatus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","11",,"3D.point.without.a.number","Unknown","Unknown","spp",,,,"16488",,,,,"sync",,,
"2024_Albany_stereo-BRUVs","11",,"stereo.maxn.does.not.equal.maxn","Labridae","Neoodax","balteatus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","11",,"stereo.maxn.does.not.equal.maxn","Terapontidae","Pelates","quadrilineatus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","110",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","110",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","110",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","111",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","111",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","111",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","112",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","112",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","112",,"3D.point.without.a.number","Unknown","Unknown","spp",,,,"16876",,,,,"Sync",,,
"2024_Albany_stereo-BRUVs","114",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","114",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","114",,"3D.point.without.a.number","Unknown","Unknown","spp",,,,"57313",,,,,"Sync",,,
"2024_Albany_stereo-BRUVs","115",,"3D.point.without.a.number","Unknown","Unknown","spp",,,,"16732",,,,,"Sync",,,
"2024_Albany_stereo-BRUVs","115",,"stereo.maxn.does.not.equal.maxn","Sillaginidae","Sillaginodes","punctatus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","116",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","116",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","116",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","15",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","15",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","15",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","17",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","17",,"stereo.maxn.does.not.equal.maxn","Labridae","Neoodax","balteatus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","18",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","18",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","18",,"3D.point.without.a.number","Unknown","Unknown","spp",,,,"12654",,,,,"sync",,,
"2024_Albany_stereo-BRUVs","19","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"189.41461",,"74358","3354.89994",,,,,"45.74422","12.04691","37330001"
"2024_Albany_stereo-BRUVs","19","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"160.70528",,"75134","1783.62119",,,,,"37.12699","4.60928","37330001"
"2024_Albany_stereo-BRUVs","20","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"226.1498",,"35314","2119.62896",,,,,"26.85674","3.3784","37330001"
"2024_Albany_stereo-BRUVs","20","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"232.18472",,"35553","1697.30623",,,,,"25.17088","1.66546","37330001"
"2024_Albany_stereo-BRUVs","20","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"221.57915",,"35582","1963.68658",,,,,"29.86904","1.97924","37330001"
"2024_Albany_stereo-BRUVs","20","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"187.05938",,"35587","1899.8087",,,,,"30.76236","2.13756","37330001"
"2024_Albany_stereo-BRUVs","20","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"212.1095",,"35608","1709.41983",,,,,"46.07317","4.04969","37330001"
"2024_Albany_stereo-BRUVs","20","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"225.30019",,"35608","1564.77688",,,,,"42.47594","4.25425","37330001"
"2024_Albany_stereo-BRUVs","20",,"stereo.maxn.does.not.equal.maxn","Sparidae","Acanthopagrus","butcheri",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","20",,"stereo.maxn.does.not.equal.maxn","Labridae","Notolabrus","parilus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","3",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","3",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","3",,"3D.point.without.a.number","Unknown","Unknown","spp",,,,"49312",,,,,"Sync",,,
"2024_Albany_stereo-BRUVs","4",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","4",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","4",,"3D.point.without.a.number","Unknown","Unknown","spp",,,,"13375",,,,,"Sync",,,
"2024_Albany_stereo-BRUVs","5",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","5",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","5",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","54",,"point.outside.period","Labridae","Neoodax","balteatus","1",,"56210",,,,,,,,,"37385005"
"2024_Albany_stereo-BRUVs","54",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","54",,"3D.point.without.a.number","Unknown","Unknown","spp",,,,"29917",,,,,"sync",,,
"2024_Albany_stereo-BRUVs","54",,"stereo.maxn.does.not.equal.maxn","Labridae","Neoodax","balteatus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","54",,"stereo.maxn.does.not.equal.maxn","Labridae","Halichoeres","brownfieldi",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","56",,"point.outside.period","Labridae","Neoodax","balteatus","1",,"18450",,,,,,,,,"37385005"
"2024_Albany_stereo-BRUVs","56",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","56",,"3D.point.without.a.number","Unknown","Unknown","spp",,,,"29951",,,,,"sync",,,
"2024_Albany_stereo-BRUVs","56",,"stereo.maxn.does.not.equal.maxn","Labridae","Neoodax","balteatus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","58","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"244.08265",,"34053","1582.15406",,,,,"24.27815","1.54067","37330001"
"2024_Albany_stereo-BRUVs","58","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"230.2205",,"34059","1455.90179",,,,,"24.70178","3.04123","37330001"
"2024_Albany_stereo-BRUVs","58","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"227.3382",,"34103","1759.98352",,,,,"28.11749","1.5406","37330001"
"2024_Albany_stereo-BRUVs","58","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"171.91028",,"34106","1737.15201",,,,,"21.96445","2.16342","37330001"
"2024_Albany_stereo-BRUVs","58","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"179.17602",,"34130","2778.51284",,,,,"54.89378","6.06076","37330001"
"2024_Albany_stereo-BRUVs","58","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"214.54307",,"34136","2436.88604",,,,,"54.05407","3.97558","37330001"
"2024_Albany_stereo-BRUVs","58","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"141.05109",,"34136","2074.69517",,,,,"41.87091","1.63628","37330001"
"2024_Albany_stereo-BRUVs","58","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"170.65336",,"34175","1903.5854",,,,,"27.45589","3.92772","37330001"
"2024_Albany_stereo-BRUVs","58","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"156.68983",,"34254","2464.32822",,,,,"46.98178","2.07348","37330001"
"2024_Albany_stereo-BRUVs","58","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"206.82889",,"34309","3022.72555",,,,,"61.18126","4.3139","37330001"
"2024_Albany_stereo-BRUVs","58","1","over.rms","Sillaginidae","Sillaginodes","punctatus",,"159.239",,"34309","2288.97209",,,,,"31.63543","5.7873","37330001"
"2024_Albany_stereo-BRUVs","6",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","6",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","6",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","61",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","61",,"stereo.maxn.does.not.equal.maxn","Labridae","Neoodax","balteatus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","61",,"stereo.maxn.does.not.equal.maxn","Pinguipedidae","Parapercis","haackei",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","64",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","64",,"3D.point.without.a.number","Unknown","Unknown","spp",,,,"10140",,,,,"Sync",,,
"2024_Albany_stereo-BRUVs","64",,"stereo.maxn.does.not.equal.maxn","Labridae","Neoodax","balteatus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","64",,"stereo.maxn.does.not.equal.maxn","Apogonidae","Ostorhinchus","rueppellii",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","64",,"stereo.maxn.does.not.equal.maxn","Labridae","Haletta","semifasciata",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","64",,"stereo.maxn.does.not.equal.maxn","Labridae","Halichoeres","brownfieldi",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","65",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","65",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","66",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","66",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","66",,"3D.point.without.a.number","Unknown","Unknown","spp",,,,"39575",,,,,"sync",,,
"2024_Albany_stereo-BRUVs","67",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","67",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","67",,"3D.point.without.a.number","Unknown","Unknown","spp",,,,"23696",,,,,"sync",,,
"2024_Albany_stereo-BRUVs","68",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","68",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","69",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","69",,"3D.point.without.a.number","Unknown","Unknown","spp",,,,"77439",,,,,"Sync",,,
"2024_Albany_stereo-BRUVs","69",,"stereo.maxn.does.not.equal.maxn","Labridae","Neoodax","balteatus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","70",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","70",,"3D.point.without.a.number","Unknown","Unknown","spp",,,,"21642",,,,,"Sync",,,
"2024_Albany_stereo-BRUVs","70",,"stereo.maxn.does.not.equal.maxn","Sillaginidae","Sillaginodes","punctatus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","71",,"species.not.observed.in.region.before","Terapontidae","Pelates","quadrilineatus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","71",,"length.or.3D.point.outside.period","Sillaginidae","Sillaginodes","punctatus","3","288.05707",,"32481",,,,,,,,
"2024_Albany_stereo-BRUVs","71",,"length.or.3D.point.outside.period","Sillaginidae","Sillaginodes","punctatus","3","280.35141",,"32674",,,,,,,,
"2024_Albany_stereo-BRUVs","71",,"stereo.maxn.does.not.equal.maxn","Carangidae","Pseudocaranx","georgianus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","71",,"stereo.maxn.does.not.equal.maxn","Terapontidae","Pelates","quadrilineatus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","72",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","72",,"3D.point.without.a.number","Unknown","Unknown","spp",,,,"18826",,,,,"Sync",,,
"2024_Albany_stereo-BRUVs","72",,"stereo.maxn.does.not.equal.maxn","Labridae","Neoodax","balteatus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","72",,"stereo.maxn.does.not.equal.maxn","Monacanthidae","Acanthaluteres","spilomelanurus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","72",,"stereo.maxn.does.not.equal.maxn","Labridae","Unknown","spp",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","73",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","73",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","75",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","75",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","75",,"3D.point.without.a.number","Unknown","Unknown","spp",,,,"63747",,,,,"sync",,,
"2024_Albany_stereo-BRUVs","75",,"3D.point.without.a.number","Unknown","Unknown","spp",,,,"63748",,,,,"sync",,,
"2024_Albany_stereo-BRUVs","77",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","77",,"3D.point.without.a.number","Unknown","Unknown","spp",,,,"60446",,,,,"sync",,,
"2024_Albany_stereo-BRUVs","77",,"stereo.maxn.does.not.equal.maxn","Labridae","Neoodax","balteatus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","77",,"stereo.maxn.does.not.equal.maxn","Sphyraenidae","Sphyraena","novaehollandiae",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","78",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","79",,"stereo.maxn.does.not.equal.maxn","Syngnathidae","Stigmatopora","argus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","8",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","8",,"stereo.maxn.does.not.equal.maxn","Labridae","Neoodax","balteatus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","80",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","80",,"3D.point.without.a.number","Unknown","Unknown","wrighti",,,,"52397",,,,,"sync",,,
"2024_Albany_stereo-BRUVs","80",,"stereo.maxn.does.not.equal.maxn","Carangidae","Pseudocaranx","wrighti",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","83",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","83",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","83",,"3D.point.without.a.number","Unknown","Unknown","spp",,,,"63264",,,,,"Sync",,,
"2024_Albany_stereo-BRUVs","85",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","85",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","85",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","86",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","86",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","86",,"3D.point.without.a.number","Unknown","Unknown","spp",,,,"74695",,,,,"sync",,,
"2024_Albany_stereo-BRUVs","87",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","87",,"3D.point.without.a.number","Unknown","Unknown","spp",,,,"23166",,,,,"Sync",,,
"2024_Albany_stereo-BRUVs","87",,"stereo.maxn.does.not.equal.maxn","Arripidae","Arripis","georgianus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","88",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","88",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","88",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","90",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","90",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","90",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","91",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","92",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","92",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","92",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","93",,"too small","Sillaginidae","Sillaginodes","punctatus",,"71.58476",,"47204",,"108","612","720",,,,
"2024_Albany_stereo-BRUVs","93",,"stereo.maxn.does.not.equal.maxn","Labridae","Neoodax","balteatus",,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","94",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","94",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","94",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","95",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","95",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","96",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","96",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","96",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","97",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","97",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","98",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","98",,"sample.without.period",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","98",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","99",,"sample.without.points",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs","99",,"sample.without.length",,,,,,,,,,,,,,,
"2024_Albany_stereo-BRUVs",,"1","period.wrong.length",,,,,,,,,,,,,,,
