"campaignid","caab_code","number","opcode","latitude_dd","longitude_dd","date_time","site","location","status","depth_m","successful_count","successful_length","zone","marine_region","observer_count","observer_length","inclusion_probability","visibility_m","level_1","level_2","level_3","level_4","level_5","level_6","level_7","level_8","family","genus","species"
"2024_Albany_stereo-BRUVs","82003001",7,"1",-35.037,117.893,"2024-04-26T12:38:00+08:00",NA,NA,"Fished","11.4","Yes","Yes",NA,"South-west","Joshua","Annika",NA,NA,"Physical","Relief","Flat",NA,"0",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003003",3,"1",-35.037,117.893,"2024-04-26T12:38:00+08:00",NA,NA,"Fished","11.4","Yes","Yes",NA,"South-west","Joshua","Annika",NA,NA,"Physical","Relief","Low / moderate","Low (<1m)","1",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003004",0,"1",-35.037,117.893,"2024-04-26T12:38:00+08:00",NA,NA,"Fished","11.4","Yes","Yes",NA,"South-west","Joshua","Annika",NA,NA,"Physical","Relief","Low / moderate","Moderate (1-3m)","2",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs",NA,0,"1",-35.037,117.893,"2024-04-26T12:38:00+08:00",NA,NA,"Fished","11.4","Yes","Yes",NA,"South-west","Joshua","Annika",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003001",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Flat",NA,"0",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003003",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Low (<1m)","1",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003004",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Moderate (1-3m)","2",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003001",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Flat",NA,"0",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003003",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Low (<1m)","1",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003004",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Moderate (1-3m)","2",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003001",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Flat",NA,"0",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003003",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Low (<1m)","1",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003004",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Moderate (1-3m)","2",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003001",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Flat",NA,"0",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003003",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Low (<1m)","1",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003004",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Moderate (1-3m)","2",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003001",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Flat",NA,"0",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003003",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Low (<1m)","1",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003004",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Moderate (1-3m)","2",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003001",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Flat",NA,"0",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003003",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Low (<1m)","1",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003004",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Moderate (1-3m)","2",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003001",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Flat",NA,"0",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003003",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Low (<1m)","1",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003004",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Moderate (1-3m)","2",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003001",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Flat",NA,"0",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003003",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Low (<1m)","1",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003004",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Moderate (1-3m)","2",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003001",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Flat",NA,"0",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003003",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Low (<1m)","1",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003004",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Moderate (1-3m)","2",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003001",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Flat",NA,"0",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003003",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Low (<1m)","1",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003004",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Moderate (1-3m)","2",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003001",0,"11",-35.054,117.872,"2024-04-25T12:02:00+08:00",NA,NA,"Fished","1.7","Yes","Yes",NA,"South-west","Michele","Joshua",NA,NA,"Physical","Relief","Flat",NA,"0",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003003",0,"11",-35.054,117.872,"2024-04-25T12:02:00+08:00",NA,NA,"Fished","1.7","Yes","Yes",NA,"South-west","Michele","Joshua",NA,NA,"Physical","Relief","Low / moderate","Low (<1m)","1",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003004",10,"11",-35.054,117.872,"2024-04-25T12:02:00+08:00",NA,NA,"Fished","1.7","Yes","Yes",NA,"South-west","Michele","Joshua",NA,NA,"Physical","Relief","Low / moderate","Moderate (1-3m)","2",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs",NA,0,"11",-35.054,117.872,"2024-04-25T12:02:00+08:00",NA,NA,"Fished","1.7","Yes","Yes",NA,"South-west","Michele","Joshua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003001",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Flat",NA,"0",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003003",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Low (<1m)","1",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003004",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Moderate (1-3m)","2",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003001",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Flat",NA,"0",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003003",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Low (<1m)","1",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003004",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Moderate (1-3m)","2",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003001",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Flat",NA,"0",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003003",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Low (<1m)","1",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003004",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Moderate (1-3m)","2",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003001",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Flat",NA,"0",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003003",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Low (<1m)","1",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003004",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Moderate (1-3m)","2",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003001",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Flat",NA,"0",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003003",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Low (<1m)","1",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003004",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Moderate (1-3m)","2",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003001",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Flat",NA,"0",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003003",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Low (<1m)","1",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003004",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Moderate (1-3m)","2",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003001",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Flat",NA,"0",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003003",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Low (<1m)","1",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003004",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physical","Relief","Low / moderate","Moderate (1-3m)","2",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003001",0,"15",-35.032,117.883,"2024-04-26T13:00:00+08:00",NA,NA,"Fished","5.4","Yes","Yes",NA,"South-west","Joshua","Annika",NA,NA,"Physical","Relief","Flat",NA,"0",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003003",10,"15",-35.032,117.883,"2024-04-26T13:00:00+08:00",NA,NA,"Fished","5.4","Yes","Yes",NA,"South-west","Joshua","Annika",NA,NA,"Physical","Relief","Low / moderate","Low (<1m)","1",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003004",0,"15",-35.032,117.883,"2024-04-26T13:00:00+08:00",NA,NA,"Fished","5.4","Yes","Yes",NA,"South-west","Joshua","Annika",NA,NA,"Physical","Relief","Low / moderate","Moderate (1-3m)","2",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs",NA,0,"15",-35.032,117.883,"2024-04-26T13:00:00+08:00",NA,NA,"Fished","5.4","Yes","Yes",NA,"South-west","Joshua","Annika",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003001",1,"17",-35.063,117.882,"2024-04-25T09:45:00+08:00",NA,NA,"Fished","3.1","Yes","Yes",NA,"South-west","Eden","Michele",NA,NA,"Physical","Relief","Flat",NA,"0",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003003",9,"17",-35.063,117.882,"2024-04-25T09:45:00+08:00",NA,NA,"Fished","3.1","Yes","Yes",NA,"South-west","Eden","Michele",NA,NA,"Physical","Relief","Low / moderate","Low (<1m)","1",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003004",0,"17",-35.063,117.882,"2024-04-25T09:45:00+08:00",NA,NA,"Fished","3.1","Yes","Yes",NA,"South-west","Eden","Michele",NA,NA,"Physical","Relief","Low / moderate","Moderate (1-3m)","2",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs",NA,0,"17",-35.063,117.882,"2024-04-25T09:45:00+08:00",NA,NA,"Fished","3.1","Yes","Yes",NA,"South-west","Eden","Michele",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003001",0,"18",-35.067,117.882,"2024-04-25T09:36:00+08:00",NA,NA,"Fished","0.9","Yes","Yes",NA,"South-west","Dillon","Michele",NA,NA,"Physical","Relief","Flat",NA,"0",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003003",0,"18",-35.067,117.882,"2024-04-25T09:36:00+08:00",NA,NA,"Fished","0.9","Yes","Yes",NA,"South-west","Dillon","Michele",NA,NA,"Physical","Relief","Low / moderate","Low (<1m)","1",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003004",10,"18",-35.067,117.882,"2024-04-25T09:36:00+08:00",NA,NA,"Fished","0.9","Yes","Yes",NA,"South-west","Dillon","Michele",NA,NA,"Physical","Relief","Low / moderate","Moderate (1-3m)","2",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs",NA,0,"18",-35.067,117.882,"2024-04-25T09:36:00+08:00",NA,NA,"Fished","0.9","Yes","Yes",NA,"South-west","Dillon","Michele",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003001",5,"19",-35.033,117.868,"2024-04-25T13:01:00+08:00",NA,NA,"Fished","2.3","Yes","Yes",NA,"South-west","Sylvie","Dillon",NA,NA,"Physical","Relief","Flat",NA,"0",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003003",5,"19",-35.033,117.868,"2024-04-25T13:01:00+08:00",NA,NA,"Fished","2.3","Yes","Yes",NA,"South-west","Sylvie","Dillon",NA,NA,"Physical","Relief","Low / moderate","Low (<1m)","1",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003004",0,"19",-35.033,117.868,"2024-04-25T13:01:00+08:00",NA,NA,"Fished","2.3","Yes","Yes",NA,"South-west","Sylvie","Dillon",NA,NA,"Physical","Relief","Low / moderate","Moderate (1-3m)","2",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs",NA,0,"19",-35.033,117.868,"2024-04-25T13:01:00+08:00",NA,NA,"Fished","2.3","Yes","Yes",NA,"South-west","Sylvie","Dillon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003001",10,"20",-35.035,117.861,"2024-04-25T12:26:00+08:00",NA,NA,"Fished","1.7","Yes","Yes",NA,"South-west","Sylvie","Joshua",NA,NA,"Physical","Relief","Flat",NA,"0",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003003",0,"20",-35.035,117.861,"2024-04-25T12:26:00+08:00",NA,NA,"Fished","1.7","Yes","Yes",NA,"South-west","Sylvie","Joshua",NA,NA,"Physical","Relief","Low / moderate","Low (<1m)","1",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs","82003004",0,"20",-35.035,117.861,"2024-04-25T12:26:00+08:00",NA,NA,"Fished","1.7","Yes","Yes",NA,"South-west","Sylvie","Joshua",NA,NA,"Physical","Relief","Low / moderate","Moderate (1-3m)","2",NA,NA,NA,NA,NA,NA
"2024_Albany_stereo-BRUVs",NA,0,"20",-35.035,117.861,"2024-04-25T12:26:00+08:00",NA,NA,"Fished","1.7","Yes","Yes",NA,"South-west","Sylvie","Joshua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
