"sample","latitude","longitude","date","time","site","location","successful.count","fov.limited","fov.open","fov.total.points.annotated","broad.consolidated","broad.macroalgae","broad.seagrasses","broad.sponges","broad.unconsolidated","broad.total.points.annotated","mean.relief","sd.relief"
"IO146",-33.97618897,114.8213721,20201013,10:17:00,"C.IO.33","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO147",-33.98118897,114.8313721,20201013,10:28:00,"C.IO.33","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO148",-34.01118897,114.5963721,20201123,10:31:00,"C.IO.46","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO15",-34.06118897,114.8663721,20201016,07:59:00,"C.IO.35","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO152",-33.98118897,114.8688721,20201013,12:18:00,"C.IO.37","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO153",-34.04618897,114.8888721,20201016,07:36:00,"C.IO.65","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO155",-34.04368897,114.8838721,20201016,07:42:00,"C.IO.65","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO157",-33.97118897,114.8238721,20201013,10:14:00,"C.IO.33","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO158",-33.98118897,114.8188721,20201013,10:21:00,"C.IO.33","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO16",-34.07368897,114.8688721,20201016,09:43:00,"C.IO.35","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO164",-34.03368897,114.9038721,20201016,07:14:00,"C.IO.62","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO165",-34.04368897,114.8988721,20201016,07:23:00,"C.IO.62","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO17",-34.06368897,114.8763721,20201016,08:07:00,"C.IO.35","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO180",-33.99618897,114.7038721,20201123,12:36:00,"C.IO.41","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO184",-34.04118897,114.9038721,20201016,07:19:00,"C.IO.62","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO189",-33.98868897,114.6638721,20201023,12:31:00,"C.IO.40","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO191",-33.99868897,114.6713721,20201023,12:20:00,"C.IO.40","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO192",-33.98618897,114.6688721,20201023,12:36:00,"C.IO.40","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO194",-33.99618897,114.6638721,20201023,12:24:00,"C.IO.40","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO195",-34.09368897,114.8588721,20201016,09:57:00,"C.IO.6","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO199",-34.08618897,114.8613721,20201016,09:51:00,"C.IO.6","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO201",-34.05618897,114.8338721,20201015,14:46:00,"C.IO.5","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO204",-34.06618897,114.7863721,20201015,10:35:00,"C.IO.7","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO206",-34.06368897,114.7913721,20201015,10:28:00,"C.IO.7","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO207",-34.06118897,114.7863721,20201015,10:23:00,"C.IO.7","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO210",-34.09118897,114.8738721,20201016,10:09:00,"C.IO.6","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO211",-34.05618897,114.9063721,20201029,10:42:00,"C.IO.3","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IOC06",-34.048689,114.876372,20201016,07:48:00,"C.IO.65","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO216",-34.06118897,114.9163721,20201029,10:33:00,"C.IO.3","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO217",-34.06618897,114.9188721,20201016,12:43:00,"C.IO.2","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO218",-34.07368897,114.9213721,20201016,12:28:00,"C.IO.2","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO220",-34.05618897,114.8438721,20201015,14:39:00,"C.IO.5","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO222",-34.06618897,114.8313721,20201015,14:54:00,"C.IO.4","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO223",-34.07118897,114.8463721,20201015,14:25:00,"C.IO.4","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO224",-34.06118897,114.8388721,20201015,14:35:00,"C.IO.4","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO225",-34.07118897,114.8338721,20201015,14:20:00,"C.IO.4","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO226",-34.06368897,114.8438721,20201015,14:32:00,"C.IO.4","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO227",-33.99868897,114.7838721,20201019,06:37:00,"C.IO.42","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO228",-34.00368897,114.7938721,20201019,06:46:00,"C.IO.42","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO229",-33.99368897,114.7863721,20201019,06:31:00,"C.IO.42","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO235",-34.06618897,114.9138721,20201016,12:49:00,"C.IO.2","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO236",-34.08118897,114.9238721,20201016,12:22:00,"C.IO.1","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO237",-34.08118897,114.9363721,20201016,12:15:00,"C.IO.1","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO239",-34.09118897,114.9313721,20201016,12:05:00,"C.IO.1","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO241",-33.99368897,114.7913721,20201019,06:26:00,"C.IO.42","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO244",-34.00368897,114.9063721,20201019,11:35:00,"C.IO.47","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO245",-34.00868897,114.9013721,20201019,11:30:00,"C.IO.47","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO253",-34.01368897,114.7038721,20201123,12:15:00,"C.IO.49","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO254",-34.01868897,114.6963721,20201123,12:10:00,"C.IO.49","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO258",-33.96618897,114.9138721,20201019,12:05:00,"C.IO.20","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO259",-33.96868897,114.9213721,20201019,12:00:00,"C.IO.20","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO260",-33.97118897,114.9163721,20201019,11:55:00,"C.IO.20","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO261",-33.97618897,114.9213721,20201019,11:46:00,"C.IO.20","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO262",-34.01368897,114.8738721,20201019,09:46:00,"C.IO.19","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO263",-34.00868897,114.8788721,20201019,09:52:00,"C.IO.19","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO264",-34.01868897,114.8738721,20201019,09:31:00,"C.IO.19","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO266",-34.02118897,114.7588721,20201015,08:06:00,"C.IO.23","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO267",-34.02618897,114.7638721,20201015,08:11:00,"C.IO.23","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO269",-33.98868897,114.8138721,20201019,07:18:00,"C.IO.22","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO272",-34.00868897,114.8138721,20201019,06:56:00,"C.IO.21","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO273",-33.99868897,114.8213721,20201019,07:07:00,"C.IO.22","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO275",-34.09868897,114.6463721,20201123,14:38:00,"C.IO.15","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO276",-34.10118897,114.6363721,20201123,07:34:00,"C.IO.15","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO277",-34.10618897,114.6463721,20201123,07:53:00,"C.IO.15","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO278",-34.11118897,114.6388721,20201123,07:45:00,"C.IO.15","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO280",-34.08868897,114.6738721,20201023,09:24:00,"C.IO.14","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO290",-34.06868897,114.7188721,20201023,07:07:00,"C.IO.13","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO291",-34.08368897,114.7488721,20201022,13:09:00,"C.IO.12","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO293",-34.08868897,114.7588721,20201022,12:55:00,"C.IO.12","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO294",-34.08368897,114.7538721,20201022,13:04:00,"C.IO.12","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO295",-34.10368897,114.7538721,20201022,12:25:00,"C.IO.11","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO297",-34.10618897,114.7488721,20201022,12:21:00,"C.IO.11","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO298",-34.07618897,114.6713721,20201023,09:39:00,"C.IO.14","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO299",-34.08118897,114.6763721,20201023,09:32:00,"C.IO.14","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO3",-34.07618897,114.7838721,20201015,12:03:00,"C.IO.43","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO300",-34.08618897,114.6688721,20201123,07:18:00,"C.IO.14","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO302",-34.07118897,114.7238721,20201023,07:13:00,"C.IO.13","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO306",-34.10118897,114.7338721,20201022,10:29:00,"C.IO.10","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO307",-34.11868897,114.7263721,20201022,09:56:00,"C.IO.9","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO308",-34.11118897,114.7288721,20201022,10:06:00,"C.IO.9","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO310",-34.05868897,114.7738721,20201015,10:06:00,"C.IO.8","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO311",-34.05618897,114.7688721,20201015,10:03:00,"C.IO.8","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO312",-34.05868897,114.7788721,20201015,10:17:00,"C.IO.8","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO313",-34.09618897,114.7563721,20201022,12:47:00,"C.IO.11","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO319",-34.09368897,114.7313721,20201022,10:37:00,"C.IO.10","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO323",-34.03103333,114.6001,20201123,09:48:00,"C.IO.27","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO324",-34.00006,114.639778,20201023,11:59:00,"C.IO.26","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO325",-33.991557,114.743378,20201015,07:44:00,"C.IO.25","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO326",-34.00425,114.6892833,20201123,12:26:00,"C.IO.24","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO327",-34.02946667,114.7623833,20201015,08:17:00,"C.IO.23","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO328",-33.99356667,114.8213667,20201019,07:13:00,"C.IO.22","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO329",-34.06481667,114.7266333,20201023,07:18:00,"C.IO.13","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO330",-34.08833333,114.7545,20201022,13:00:00,"C.IO.12","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO331",-34.0984,114.75005,20201022,12:30:00,"C.IO.11","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO332",-34.09718333,114.7344833,20201022,10:33:00,"C.IO.10","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO333",-34.11301667,114.7251333,20201022,10:01:00,"C.IO.9","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO334",-34.06155,114.7753667,20201015,10:11:00,"C.IO.8","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO335",-34.06686667,114.7939833,20201015,10:31:00,"C.IO.7","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO336",-34.0924,114.8663667,20201016,10:03:00,"C.IO.6","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO337",-34.00536667,114.8202333,20201019,07:02:00,"C.IO.21","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO338",-33.97231667,114.92245,20201019,11:50:00,"C.IO.20","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO339",-34.01461667,114.8785,20201019,09:41:00,"C.IO.19","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO34",-34.06118897,114.8713721,20201016,08:02:00,"C.IO.35","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO343",-34.10261667,114.6407167,20201123,07:38:00,"C.IO.15","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO344",-34.0844,114.6744,20201023,09:28:00,"C.IO.14","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO349",-34.02368897,114.5963721,20201123,10:03:00,"C.IO.27","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO350",-34.02618897,114.6038721,20201123,09:56:00,"C.IO.27","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO351",-34.03118897,114.5963721,20201123,10:13:00,"C.IO.27","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO352",-34.03618897,114.5988721,20201123,09:43:00,"C.IO.27","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO353",-34.05436667,114.8390667,20201015,14:43:00,"C.IO.5","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO354",-34.06605,114.84,20201015,14:29:00,"C.IO.4","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO355",-34.05473333,114.9111,20201029,10:38:00,"C.IO.3","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO356",-34.06956667,114.9184667,20201016,12:39:00,"C.IO.2","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO357",-34.08496667,114.928,20201016,12:08:00,"C.IO.1","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO36",-34.10368897,114.7188721,20201022,10:23:00,"C.IO.55","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO361",-33.98868897,114.7413721,20201015,07:35:00,"C.IO.25","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO363",-33.98618897,114.7513721,20201015,07:26:00,"C.IO.25","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO364",-34.00868897,114.6888721,20201123,12:21:00,"C.IO.24","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO365",-34.02368897,114.7538721,20201015,08:23:00,"C.IO.23","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO369",-34.02868897,114.5913721,20201123,10:08:00,"C.IO.27","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO37",-34.10868897,114.7188721,20201022,10:12:00,"C.IO.55","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO370",-33.99618897,114.6463721,20201023,12:10:00,"C.IO.26","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO372",-34.00618897,114.6438721,20201023,11:53:00,"C.IO.26","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO374",-33.98618897,114.7463721,20201015,07:31:00,"C.IO.25","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO377",-34.13868897,114.7588721,20201022,07:40:00,"C.IO.69","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO378",-33.99368897,114.6388721,20201023,12:04:00,"C.IO.26","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO379",-34.08368897,114.6813721,20201123,06:58:00,"C.IO.14","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO4",-34.09118897,114.7813721,20201015,12:17:00,"C.IO.43","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO40",-34.10368897,114.7138721,20201022,10:17:00,"C.IO.55","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO46",-34.06868897,114.7113721,20201023,06:44:00,"C.IO.34","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO47",-34.06368897,114.7113721,20201023,06:53:00,"C.IO.34","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO49",-34.06118897,114.7063721,20201023,06:59:00,"C.IO.34","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO5",-34.08868897,114.7763721,20201015,12:12:00,"C.IO.43","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO58",-34.13618897,114.7738721,20201022,07:21:00,"C.IO.69","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO59",-34.14118897,114.7663721,20201022,07:33:00,"C.IO.69","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO62",-34.13368897,114.7663721,20201022,07:45:00,"C.IO.69","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO64",-34.01368897,114.8963721,20201019,11:26:00,"C.IO.47","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO65",-34.01118897,114.8888721,20201019,11:20:00,"C.IO.53","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO66",-34.01618897,114.8813721,20201019,09:36:00,"C.IO.19","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO71",-34.00368897,114.6988721,20201123,12:31:00,"C.IO.41","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO72",-34.03618897,114.8463721,20201019,09:05:00,"C.IO.60","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO73",-34.02868897,114.8588721,20201019,09:22:00,"C.IO.60","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO74",-34.02868897,114.8513721,20201019,09:14:00,"C.IO.60","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO75",-34.03368897,114.8538721,20201019,09:10:00,"C.IO.60","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO80",-34.09368897,114.8888721,20201016,10:30:00,"C.IO.52","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO81",-34.09868897,114.8913721,20201016,10:20:00,"C.IO.52","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO91",-34.09368897,114.8938721,20201016,10:25:00,"C.IO.52","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO92",-34.09868897,114.8863721,20201016,10:16:00,"C.IO.52","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO95",-34.12618897,114.7338721,20201022,08:21:00,"C.IO.68","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO96",-34.13618897,114.7363721,20201022,08:06:00,"C.IO.68","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO98",-34.13368897,114.7313721,20201022,08:13:00,"C.IO.68","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IOC04",-34.08755,114.749265,20201022,13:16:00,"C.IO.12","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IOC05",-34.05394,114.899843,20201029,10:46:00,"C.IO.3","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO215",-34.06868897,114.9263721,20201016,12:34:00,"C.IO.2","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IOCP11-1",-33.992845,114.696642,20201123,12:39:00,"C.IO.41","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IOCP11-2",-33.974332,114.692773,20201123,12:47:00,"C.IO.41","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IOCP2311",-34.01858,114.601465,20201123,10:19:00,"C.IO.46","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IOREDO344",-34.0844,114.6744,20201123,07:12:00,"C.IO.14","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
